Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,SMA_10,EMA_10,RSI,MACD
109,AAPL,2015-10-29 00:00:00+00:00,120.53,120.69,118.27,118.7,51227334,111.5728835237,111.7209932173,109.4808341023,109.8788789037,51227334,0.0,1.0,115.45100000000002,116.12124881321789,64.20101888221036,1.4960069504710276
110,AAPL,2015-10-30 00:00:00+00:00,119.5,121.22,119.45,120.99,49365254,110.6194273715,112.2116065771,110.5731430922,111.9986988927,49365254,0.0,1.0,116.29699999999998,116.73556721094486,61.39701434333709,1.6917870784142792
111,AAPL,2015-11-02 00:00:00+00:00,121.18,121.36,119.61,119.87,32203267,112.1745791538,112.341202559,110.7212527858,110.9619310378,32203267,0.0,1.0,117.24199999999999,117.54364590000415,64.14752112924756,1.9599135367354705
112,AAPL,2015-11-03 00:00:00+00:00,122.57,123.49,120.7,120.79,45518976,113.4612821165,114.3129128544,111.7302500731,111.8135617757,45518976,0.0,1.0,118.12199999999999,118.45752846376944,66.28779424410371,2.258532117622593
113,AAPL,2015-11-04 00:00:00+00:00,122.0,123.82,121.62,123.13,44886050,112.9336413332,114.6183890974,112.581880811,113.9796660439,44886050,0.0,1.0,118.946,119.10161419770432,64.58513661402903,2.4212842010228
114,AAPL,2015-11-05 00:00:00+00:00,120.92,122.69,120.18,121.85,39552680,112.4152574058,114.0607668799,111.7273042923,113.2798471295,39552680,0.52,1.0,119.48799999999999,119.43222979815312,61.368705133673785,2.435049688575404
115,AAPL,2015-11-06 00:00:00+00:00,121.06,121.81,120.62,121.11,33042283,112.5454106975,113.2426604747,112.1363574949,112.591894016,33042283,0.0,1.0,119.68599999999999,119.72818801669374,61.63542848362795,2.4292528518878385
116,AAPL,2015-11-09 00:00:00+00:00,120.57,121.81,120.05,120.96,33871405,112.0898741764,113.2426604747,111.6064476643,112.4524440606,33871405,0.0,1.0,120.215,119.88124474094097,60.072110268905,2.3579390584501283
117,AAPL,2015-11-10 00:00:00+00:00,116.77,118.07,116.061,116.9,59127931,108.5571419722,109.7657082526,107.8980085161,108.6779986002,59127931,0.0,1.0,120.43700000000001,119.31556387892226,49.57136653672048,1.9720614247488015
118,AAPL,2015-11-11 00:00:00+00:00,116.11,117.42,115.21,116.37,45217971,107.9435621683,109.1614251124,107.1068624357,108.1852754243,45217971,0.0,1.0,120.12100000000001,118.73273408272976,48.00190503545209,1.594612436239231
119,AAPL,2015-11-12 00:00:00+00:00,115.72,116.82,115.65,116.26,32525579,107.5809922841,108.6036252906,107.5159156383,108.0830121237,32525579,0.0,1.0,119.63999999999999,118.1849642494871,47.05387836354137,1.2496069616378236
120,AAPL,2015-11-13 00:00:00+00:00,112.34,115.57,112.27,115.2,45812403,104.4387199551,107.4415423287,104.3736433092,107.097565772,45812403,0.0,1.0,118.924,117.1222434768228,39.730337437921534,0.6954333623160807
121,AAPL,2015-11-16 00:00:00+00:00,114.175,114.24,111.0,111.38,38106701,106.1446577432,106.2050860572,103.1929670199,103.5462402403,38106701,0.0,1.0,118.22350000000002,116.58638102647889,44.757289229699495,0.39970836726551795
122,AAPL,2015-11-17 00:00:00+00:00,113.69,115.05,113.32,114.92,27583101,105.6937695539,106.9581158165,105.3497929972,106.8372591885,27583101,0.0,1.0,117.33549999999998,116.05976629438176,43.71935447409445,0.1247704552770017
123,AAPL,2015-11-18 00:00:00+00:00,117.29,117.49,115.5,115.76,46674697,109.0405684843,109.2265017582,107.3764656828,107.6181789389,46674697,0.0,1.0,116.86450000000002,116.2834451499522,52.520819018377416,0.19512086092387904
124,AAPL,2015-11-19 00:00:00+00:00,118.78,119.75,116.76,117.64,43295820,110.4257713749,111.3275477534,108.5478453085,109.3659517137,43295820,0.0,1.0,116.65050000000001,116.73736421360304,55.61469921127187,0.3668754994116057
125,AAPL,2015-11-20 00:00:00+00:00,119.3,119.92,118.85,119.2,34287096,110.9091978871,111.4855910362,110.4908480208,110.8162312502,34287096,0.0,1.0,116.4745,117.20329799295281,56.675742637502125,0.5387416634756619
126,AAPL,2015-11-23 00:00:00+00:00,117.75,119.73,117.34,119.27,32482528,109.4682150143,111.308954426,109.0870518028,110.881307896,32482528,0.0,1.0,116.1925,117.30269835787134,52.63655103888004,0.5436084112355246
127,AAPL,2015-11-24 00:00:00+00:00,118.88,119.35,117.12,117.33,42803172,110.5187380119,110.9556812056,108.8825252015,109.0777551391,42803172,0.0,1.0,116.40349999999998,117.58948047462401,55.146281690604035,0.6313688727426978
128,AAPL,2015-11-25 00:00:00+00:00,118.03,119.23,117.92,119.21,21388308,109.7285215978,110.8441212412,109.6262582971,110.8255279139,21388308,0.0,1.0,116.59549999999999,117.66957493378374,52.8765622748166,0.625125714405101
